doc_id,status,model,temperature,case_amount,case_amount_type,metadata__case_number,metadata__court_name,metadata__court_level,metadata__judgment_date,metadata__first_instance_case_number,metadata__region,metadata__doc_type,case_profile__case_type_primary,case_profile__case_type_secondary,case_profile__procedure_stage,case_profile__is_appeal,case_profile__litigant_profile__plaintiff_types,case_profile__litigant_profile__defendant_types,virtual_currency_info__involved,virtual_currency_info__typical_virtual_currency,virtual_currency_info__currency_types,virtual_currency_info__activity_types,judicial_analysis__legal_characterization,judicial_analysis__virtual_currency_property_status,judicial_analysis__direct_transaction_legality_assessment,judicial_analysis__indirect_transaction_legality_assessment,judicial_analysis__direct_related_contract_validity,judicial_analysis__indirect_related_contract_validity,judicial_analysis__reasons_for_invalidity_or_no_protection,judicial_analysis__cited_laws,judicial_analysis__cited_policies,judicial_analysis__policy_labels,judicial_analysis__judicial_framing,llm_summary__outcome_summary,llm_summary__reasoning_summary,low_confidence_fields
ecd8b7cc-5eee-41c2-824e-aa7100282c57,ok,deepseek-v4-pro,0,,,（2019）京73民终1128号,北京知识产权法院,中级法院,2019-06-05,,北京,判决书,民事,不正当竞争纠纷,二审,1,"[""法人""]","[""法人""]",0,否,[],[],,[],,,,,[],[],[],[],[],,,[]
dcf6f812-6767-4b69-9ba7-af09017227b3,ok,deepseek-v4-pro,0,32000,借款本金,（2022）豫17民终404号,河南省驻马店市中级人民法院,中级法院,2022-03-03,,河南,判决书,民事,民间借贷纠纷,二审,1,"[""自然人""]","[""自然人""]",1,否,[],[],,[],,,,,[],[],[],[],[],,,[]
770a9438-1be7-4a22-92cf-ac070121388c,ok,deepseek-v4-pro,0,107323.56,原告诉请本金,（2020）豫1502民初1248号,信阳市浉河区人民法院,基层法院,2020-06-03,,河南,判决书,民事,追索劳动报酬纠纷,一审,0,"[""自然人""]","[""法人"",""自然人""]",1,否,[],[],,[],,,,,[],[],[],[],[],,,[]
380f2810-963f-4d75-9841-b23300e1d482,ok,deepseek-v4-pro,0,170050,借款本金,（2024）沪0117民初3773号,上海市松江区人民法院,基层法院,2024-07-30,,上海,判决书,民事,民间借贷纠纷,一审,0,"[""自然人""]","[""自然人""]",1,是,"[""比特币""]","[""买卖/兑换""]",民间借贷,"[""未明确""]",未明确,不适用,不适用,不适用,[],"[""《最高人民法院关于适用〈中华人民共和国民法典〉时间效力的若干规定》第一条第二款"",""1999年《中华人民共和国合同法》第二百零六条"",""1999年《中华人民共和国合同法》第二百零七条"",""《中华人民共和国民事诉讼法》第六十七条第一款""]",[],[],"[""返还本金""]",支持返还本金,法院认定原被告之间存在民间借贷关系，被告未能证明款项系委托投资比特币，故支持原告返还借款本金及利息的请求。,[]
7be71ec3-d54e-459f-a24e-ae4300e2af26,ok,deepseek-v4-pro,0,70000,投资款,（2021）赣0423民初2573号,武宁县人民法院,基层法院,2021-10-25,,江西,判决书,民事,委托合同纠纷,一审,0,"[""自然人""]","[""自然人""]",1,是,"[""比特币""]","[""委托理财/代投""]",委托合同,"[""未明确""]",未明确,不适用,有效,不适用,[],"[""《中华人民共和国民法典》第九百一十九条"",""《中华人民共和国民法典》第九百二十二条"",""《中华人民共和国民法典》第九百二十九条""]",[],[],"[""返还本金""]",支持赔偿投资款损失,法院认定双方形成无偿委托合同关系，被告未按原告指示处理委托事务造成损失，存在重大过失，应赔偿损失。,[]
f2f71058-f0cb-47de-9d26-b168013ac312,ok,deepseek-v4-pro,0,73000,投资款,（2023）苏0404民初70号,江苏省常州市钟楼区人民法院,基层法院,2023-05-15,,江苏,判决书,民事,合同纠纷,一审,0,"[""自然人""]","[""自然人""]",1,是,"[""虚拟货币""]","[""委托理财/代投""]",其他,"[""未明确""]",未明确,不适用,未明确,不适用,[],"[""《中华人民共和国民法典》第一百七十六条"",""《中华人民共和国民事诉讼法》第四十条第二款"",""《中华人民共和国民事诉讼法》第一百三十七条第一款"",""《中华人民共和国民事诉讼法》第一百四十七条""]",[],[],"[""返还本金""]",支持返还本金,被告出具承诺书承诺退还投资本金，属于民事义务，应依约履行，故支持原告退还剩余本金及利息的请求。,[]
0443da01-9ab5-4e1b-a141-b1db018aaa45,ok,deepseek-v4-pro,0,80000,借款本金,（2024）云0322民初893号,陆良县人民法院,基层法院,2024-03-27,,云南,判决书,民事,民间借贷纠纷,一审,0,"[""自然人""]","[""自然人""]",0,否,[],[],,[],,,,,[],[],[],[],[],,,[]
2e6f3235-39d4-4530-8133-ab8900a6236c,ok,deepseek-v4-pro,0,1030220,投资款,（2020）闽02民终1243号,福建省厦门市中级人民法院,中级法院,2020-05-14,,福建,判决书,民事,合同纠纷,二审,1,"[""法人""]","[""法人"",""自然人""]",0,否,[],[],,[],,,,,[],[],[],[],[],,,[]
510e1a89-e2d1-4a59-915d-b1b800b8ff2a,ok,deepseek-v4-pro,0,,,（2023）鲁1091民初655号,威海火炬高技术产业开发区人民法院,基层法院,2023-09-08,,山东,判决书,民事,合同纠纷,一审,0,"[""法人""]","[""自然人""]",1,是,"[""比特币""]","[""其他""]",合同纠纷,"[""未明确""]",不适用,不适用,不适用,有效,"[""证据不足""]","[""《中华人民共和国民法典》第五百零九条"",""《中华人民共和国民法典》第五百七十七条"",""《中华人民共和国民法典》第五百八十五条第二款""]",[],[],"[""证据不足"",""返还本金""]",部分支持，判令被告支付违约金及律师费,法院认定《主播签约协议》合法有效，被告直播时长未达标构成违约，应承担违约责任；但原告主张的打赏损失证据不足，不予支持；违约金过高予以酌减。,[]
19ed9e96-432c-4270-9316-b187006bad16,ok,deepseek-v4-pro,0,116000,投资款,（2024）新40民终727号,新疆维吾尔自治区高级人民法院伊犁哈萨克自治州分院,中级法院,2024-03-25,,新疆,判决书,民事,不当得利纠纷,二审,1,"[""自然人""]","[""自然人""]",1,是,"[""虚拟货币""]","[""委托理财/代投"",""传销""]",不当得利,"[""不具有法偿性"",""非货币"",""未明确""]",不受法律保护,不适用,未明确,不适用,"[""投资风险自担"",""违背公序良俗""]","[""《中华人民共和国民事诉讼法》第六十七条"",""《最高人民法院关于适用〈中华人民共和国民事诉讼法〉的解释》第九十条"",""《中华人民共和国民事诉讼法》第一百七十七条第一款第一项""]",[],[],"[""风险自担"",""违背公序良俗"",""不受法律保护""]",驳回上诉，维持原判,法院认为虚拟货币投资交易不受法律保护，卡某某作为投资人未审慎注意，其行为破坏公共秩序，相关权益不受法律保护，后果自行承担。,"[""direct_related_contract_validity""]"
