doc_id,status,model,temperature,case_amount,case_amount_type,metadata__case_number,metadata__court_name,metadata__court_level,metadata__judgment_date,metadata__first_instance_case_number,metadata__region,metadata__doc_type,case_profile__case_type_primary,case_profile__case_type_secondary,case_profile__procedure_stage,case_profile__is_appeal,case_profile__litigant_profile__plaintiff_types,case_profile__litigant_profile__defendant_types,virtual_currency_info__involved,virtual_currency_info__typical_virtual_currency,virtual_currency_info__currency_types,virtual_currency_info__activity_types,judicial_analysis__legal_characterization,judicial_analysis__virtual_currency_property_status,judicial_analysis__direct_transaction_legality_assessment,judicial_analysis__indirect_transaction_legality_assessment,judicial_analysis__direct_related_contract_validity,judicial_analysis__indirect_related_contract_validity,judicial_analysis__reasons_for_invalidity_or_no_protection,judicial_analysis__cited_laws,judicial_analysis__cited_policies,judicial_analysis__policy_labels,judicial_analysis__judicial_framing,llm_summary__outcome_summary,llm_summary__reasoning_summary,low_confidence_fields
c31d8970-d871-48a1-8b04-acfc012572ad,ok,deepseek-v4-pro,0,,,（2019）京73民终3019号,北京知识产权法院,中级法院,2021-03-22,,北京,判决书,民事,著作权权属、侵权纠纷,二审,1,"[""法人""]","[""法人""]",0,否,[],[],,[],,,,,[],[],[],[],[],,,[]
7ec55e60-10aa-4c3c-8d4d-aefa00b51ee5,ok,deepseek-v4-pro,0,228870,返还本金,（2021）粤0513民初1971号,汕头市潮阳区人民法院,基层法院,2021-10-20,,广东,判决书,民事,买卖合同纠纷,一审,0,"[""自然人""]","[""自然人""]",1,否,[],[],,[],,,,,[],[],[],[],[],,,[]
610b1988-2768-4461-933d-aae000abd97f,ok,deepseek-v4-pro,0,33000,借款本金,（2019）豫0181民初6949号,巩义市人民法院,基层法院,2019-08-13,,河南,判决书,民事,民间借贷纠纷,一审,0,"[""自然人""]","[""自然人""]",1,否,[],[],,[],,,,,[],[],[],[],[],,,[]
f74bfd2a-981d-424f-a862-b04c008b9710,ok,deepseek-v4-pro,0,200000,购买价款,（2022）川3226民初566号,金川县人民法院,基层法院,2022-12-19,,四川,判决书,民事,不当得利纠纷,一审,0,"[""自然人""]","[""自然人""]",1,是,"[""虚拟货币""]","[""挖矿""]",不当得利,"[""未明确""]",未明确,未明确,不适用,未明确,"[""证据不足"",""请求权基础不成立""]","[""《中华人民共和国民法典》第九百八十五条"",""《中华人民共和国民事诉讼法》第六十七条"",""《最高人民法院关于适用<中华人民共和国民事诉讼法>的解释》第九十条第一款""]",[],[],"[""证据不足"",""请求权基础不成立""]",驳回诉请,法院认为，原告未能证明被告无法律依据受益而致原告受损，不当得利不成立，故驳回诉请。,[]
dbea019d-9a09-43e7-adf9-ac9a003d6f7b,ok,deepseek-v4-pro,0,49800,原告诉请本金,（2020）陕03民终1472号,陕西省宝鸡市中级人民法院,中级法院,2020-09-22,,陕西,判决书,民事,不当得利纠纷,二审,1,"[""自然人""]","[""自然人""]",1,是,"[""数字货币""]","[""委托理财/代投""]",不当得利,"[""不具有法偿性"",""非货币""]",不受法律保护,不适用,无效,不适用,"[""违反法律强制性规定"",""投资风险自担""]","[""《中华人民共和国民法通则》第九十二条"",""《最高人民法院关于贯彻执行〈中华人民共和国民法通则〉若干问题的意见》第一百三十一条"",""《中华人民共和国民法总则》第一百一十九条"",""《中华人民共和国民法总则》第一百二十二条"",""《中华人民共和国民事诉讼法》第一百七十条第一款(一)项""]",[],[],"[""风险自担"",""合同无效"",""违反强制性规定""]",驳回诉请,法院认为，购买虚拟货币的行为违反强制性规定，不受法律保护，风险自担；且原告无证据证明被告获利，不构成不当得利。,[]
ede7008d-91f1-4597-ac96-ae9b0015cc6f,ok,deepseek-v4-pro,0,100000,购买价款,（2022）湘1002民初1202号,郴州市北湖区人民法院,基层法院,2022-04-26,,湖南,判决书,民事,买卖合同纠纷,一审,0,"[""自然人""]","[""自然人"",""法人""]",1,是,"[""Chia"",""奇亚""]","[""挖矿""]",买卖合同,"[""未明确""]",未明确,合法有效,有效,不适用,[],"[""《中华人民共和国民法典》第四百六十九条"",""《中华人民共和国民法典》第五百零九条"",""《中华人民共和国民事诉讼法》第一百四十五条""]","[""《国家发展改革委等部门关于整治虚拟货币“挖矿”活动的通知》""]","[""挖矿整治文件""]","[""证据不足""]",驳回诉请,法院认为，原告购买矿机的意思表示真实，被告已按约购买并托管矿机，双方实际履行了合同义务，原告以未收到货为由要求退款与事实不符，故驳回诉请。,[]
60e237b9-1c0e-47bb-ac23-b13400f1e950,ok,deepseek-v4-pro,0,75000,投资款,（2022）豫1722民初6134号,河南省上蔡县人民法院,基层法院,2022-12-09,,河南,判决书,民事,委托理财合同纠纷,一审,0,"[""自然人""]","[""自然人""]",1,是,"[""任务帮虚拟资产"",""虚拟货币""]","[""委托理财/代投""]",委托合同,"[""未明确""]",未明确,不适用,有效,不适用,"[""证据不足"",""投资风险自担""]","[""《中华人民共和国合同法》第六十条"",""《中华人民共和国合同法》第三百九十六条"",""《中华人民共和国合同法》第四百零六条第一款"",""《最高人民法院关于适用民法典时间效力的若干规定》第一条第二款"",""《中华人民共和国民事诉讼法》第六十七条第一款"",""《最高人民法院关于适用中华人民共和国民事诉讼法的解释》第九十条""]",[],[],"[""证据不足"",""风险自担""]",驳回诉请,法院认为，双方成立无偿委托合同关系，被告已完成委托事务，原告未能证明被告存在故意或重大过失，且投资风险应由原告自行承担，故驳回返还投资款及利息的请求。,[]
f8bfb3f4-97eb-4961-946d-ae56017d1468,ok,deepseek-v4-pro,0,300000,借款本金,（2021）鲁1602民初4629号,滨州市滨城区人民法院,基层法院,2022-01-12,,山东,判决书,民事,民间借贷纠纷,一审,0,"[""自然人""]","[""自然人""]",1,是,"[""数字币""]","[""挖矿""]",民间借贷,"[""未明确""]",未明确,合法有效,不适用,有效,"[""证据不足""]","[""《最高人民法院关于适用<中华人民共和国民法典>时间效力的若干规定》第一条第三款"",""《中华人民共和国民法典》第六百六十七条"",""《中华人民共和国民法典》第六百七十四条"",""《中华人民共和国民法典》第六百七十五条"",""《中华人民共和国民法典》第六百七十六条"",""《中华人民共和国民法典》第六百七十九条"",""《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》[法释]第二十八条""]",[],[],"[""返还本金"",""证据不足""]",支持对曹某某的借款本金及利息请求，驳回对王某1的诉讼请求,法院认定魏某某与曹某某之间民间借贷关系合法有效，曹某某应偿还借款本息；但魏某某未能证明借款用于夫妻共同生活或共同生产经营，故王某1不承担责任。,[]
a94bd0a2-7c0c-4a3d-aca1-abfb00cd5346,ok,deepseek-v4-pro,0,200000,原告诉请本金,（2020）鄂96民终237号,湖北省汉江中级人民法院,中级法院,2020-06-17,,湖北,判决书,民事,民间借贷纠纷,二审,1,"[""自然人""]","[""自然人""]",1,是,"[""易物点""]","[""委托理财/代投""]",民间借贷,"[""未明确""]",未明确,不适用,未明确,不适用,"[""证据不足""]","[""《中华人民共和国合同法》第一百九十六条"",""《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第十七条"",""《最高人民法院关于民事诉讼证据的若干规定》第二条"",""《最高人民法院关于民事诉讼证据的若干规定》第五条第一款"",""《中华人民共和国民事诉讼法》第六十四条第一款"",""《中华人民共和国民事诉讼法》第一百七十条第一款第一项""]",[],[],"[""证据不足""]",驳回诉请,法院认为，黄某某仅依据转账凭证提起民间借贷诉讼，王某某提供证据证明该款项系投资款，黄某某未能举证证明借贷合意，应承担举证不能的后果。,[]
fc148ab1-a06f-48bd-bffb-b1e30116b8a9,ok,deepseek-v4-pro,0,75000,投资款,（2023）桂05民再40号,广西壮族自治区北海市中级人民法院,中级法院,2023-11-03,,广西,判决书,民事,委托合同纠纷,再审,0,"[""自然人""]","[""自然人""]",1,是,"[""bacs币"",""eno币"",""虚拟货币""]","[""委托理财/代投""]",委托合同,"[""未明确""]",合同无效,不适用,无效,不适用,"[""违背公序良俗"",""违反金融监管政策""]","[""《中华人民共和国民法典》第八条"",""《中华人民共和国民法典》第一百五十七条"",""《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》(2020年第二次修正)第十四条第一款"",""《中华人民共和国民事诉讼法》第一百七十七条第一款第二项"",""《中华人民共和国民事诉讼法》第二百一十四条第一款""]","[""《关于进一步防范和处置虚拟货币交易炒作风险的通知》""]","[""2021九二四通知""]","[""合同无效"",""违背公序良俗"",""监管政策影响私法效力"",""返还本金""]",部分支持返还本金,法院认为委托购买虚拟货币的民事法律行为无效，双方均有过错，酌定各承担50%责任，彦某某返还37500元。,[]
