doc_id,index_title,index_case_cause,index_case_number,index_close_date,index_court_name,index_court_level,index_procedure,index_row_index,metadata__judgment_date,metadata__region,case_profile__procedure_stage,case_profile__case_type_secondary,criminal_filter_rule,criminal_filter_is_explicit_criminal,sample_year,sample_region,sample_stage
c31d8970-d871-48a1-8b04-acfc012572ad,某公司1与某公司2著作权权属、侵权纠纷二审民事案,著作权权属纠纷,（2019）京73民终3019号,2021-03-22,北京知识产权法院,中级法院,二审,6144,2021-03-22,北京,二审,著作权权属纠纷,case_reason_contains_罪,0,2021,北京,二审
f74bfd2a-981d-424f-a862-b04c008b9710,刘某某与安某某不当得利纠纷一审民事案,不当得利纠纷,（2022）川3226民初566号,2022-12-19,金川县人民法院,基层法院,一审,3030,2022-12-19,四川,一审,不当得利纠纷,case_reason_contains_罪,0,2022,四川,一审
a94bd0a2-7c0c-4a3d-aca1-abfb00cd5346,黄某某、王某某民间借贷纠纷二审民事案,民间借贷纠纷,（2020）鄂96民终237号,2020-06-17,湖北省汉江中级人民法院,中级法院,二审,7941,2020-06-17,湖北,二审,民间借贷纠纷,case_reason_contains_罪,0,2020,湖北,二审
610b1988-2768-4461-933d-aae000abd97f,费某某与焦某某民间借贷纠纷一审民事案,民间借贷纠纷,（2019）豫0181民初6949号,2019-08-13,巩义市人民法院,基层法院,一审,9251,2019-08-13,河南,一审,民间借贷纠纷,case_reason_contains_罪,0,2019,河南,一审
fc148ab1-a06f-48bd-bffb-b1e30116b8a9,彦某与林某、韩某委托合同纠纷再审审查民事案,委托合同纠纷,（2023）桂05民再40号,2023-11-03,广西壮族自治区北海市中级人民法院,中级法院,再审,1893,2023-11-03,广西,再审,委托合同纠纷,case_reason_contains_罪,0,2023,广西,再审
7ec55e60-10aa-4c3c-8d4d-aefa00b51ee5,黄某某、肖某某买卖合同纠纷民事一审民事案,买卖合同纠纷,（2021）粤0513民初1971号,2021-10-20,汕头市潮阳区人民法院,基层法院,一审,4880,2021-10-20,广东,一审,买卖合同纠纷,case_reason_contains_罪,0,2021,广东,一审
60e237b9-1c0e-47bb-ac23-b13400f1e950,唐某某与周某某、张某某委托理财合同纠纷一审民事案,委托理财合同纠纷,（2022）豫1722民初6134号,2022-12-09,河南省上蔡县人民法院,基层法院,一审,3065,2022-12-09,河南,一审,委托理财合同纠纷,case_reason_contains_罪,0,2022,河南,一审
dbea019d-9a09-43e7-adf9-ac9a003d6f7b,俱某某与仝某某不当得利纠纷二审民事案,不当得利纠纷,（2020）陕03民终1472号,2020-09-22,陕西省宝鸡市中级人民法院,中级法院,二审,7354,2020-09-22,陕西,二审,不当得利纠纷,case_reason_contains_罪,0,2020,陕西,二审
f8bfb3f4-97eb-4961-946d-ae56017d1468,魏某某、曹某某等民间借贷纠纷民事一审民事案,民间借贷纠纷,（2021）鲁1602民初4629号,2022-01-12,滨州市滨城区人民法院,基层法院,一审,4243,2022-01-12,山东,一审,民间借贷纠纷,case_reason_contains_罪,0,2022,山东,一审
ede7008d-91f1-4597-ac96-ae9b0015cc6f,徐某某、李某某等买卖合同纠纷民事一审民事案,买卖合同纠纷,（2022）湘1002民初1202号,2022-04-26,郴州市北湖区人民法院,基层法院,一审,3882,2022-04-26,湖南,一审,买卖合同纠纷,case_reason_contains_罪,0,2022,湖南,一审
