doc_id,index_title,index_case_cause,index_case_number,index_close_date,index_court_name,index_court_level,index_procedure,index_row_index,metadata__judgment_date,metadata__region,case_profile__procedure_stage,case_profile__case_type_secondary,criminal_filter_rule,criminal_filter_is_explicit_criminal,sample_year,sample_region,sample_stage
8ee89639-50ca-4f5d-b3a4-ab9c00be618e,杨某1与杨某2民间委托理财合同纠纷一审民事案,民间委托理财合同纠纷,（2020）豫0185民初105号,2020-03-20,登封市人民法院,基层法院,一审,8390,2020-03-20,河南,一审,民间委托理财合同纠纷,case_reason_contains_罪,0,2020,河南,一审
7d98b83c-14e0-4f8f-9d29-3c57f9aec4eb,刘某2；李某某案,不当得利纠纷,（2021）京0105民初32010号,2023-06-21,北京市朝阳区人民法院,基层法院,一审,2389,2023-06-21,北京,一审,不当得利纠纷,case_reason_contains_罪,0,2023,北京,一审
6f90ab61-4c25-492a-80ae-ae47009be165,某公司、苏某某合同纠纷民事一审民事案,合同纠纷,（2021）闽0203民初13303号,2022-01-04,厦门市思明区人民法院,基层法院,一审,4260,2022-01-04,福建,一审,合同纠纷,case_reason_contains_罪,0,2022,福建,一审
25a3d604-0e26-49b6-b57e-aaa4008e226c,陈某某、某政府买卖合同纠纷二审民事案,互易纠纷,（2019）川13民终3857号,2019-11-27,四川省南充市中级人民法院,中级法院,二审,9284,2019-11-27,四川,二审,互易纠纷,case_reason_contains_罪,0,2019,四川,二审
c5eaf2b6-f594-40f1-bb0a-b10a0036785e,王某某、白某某民间借贷纠纷民事一审民事案,合同纠纷,（2022）粤0281民初1750号,2022-12-16,乐昌市人民法院,基层法院,一审,3038,2022-12-16,广东,一审,合同纠纷,case_reason_contains_罪,0,2022,广东,一审
63b75ee6-1188-42c9-a4e6-ae51012a82f3,某公司1、某公司2等侵害计算机软件著作权纠纷民事二审民事案,侵害计算机软件著作权纠纷,（2021）最高法知民终1448号,2021-12-03,最高人民法院,最高人民法院,二审,4522,2021-12-03,最高人民法院,二审,侵害计算机软件著作权纠纷,case_reason_contains_罪,0,2021,最高人民法院,二审
f3fd9bc1-ec5d-4af8-9867-ae08009a22d8,廖某某、古某某合同纠纷民事一审民事案,合同纠纷,（2020）粤0304民初55094号,2021-09-10,深圳市福田区人民法院,基层法院,一审,5122,2021-09-10,广东,一审,合同纠纷,case_reason_contains_罪,0,2021,广东,一审
659d273f-9250-45b6-b740-acbe00af0475,周某2与周某4民间借贷纠纷一审民事案,民间借贷纠纷,（2020）闽0203民初16822号,2020-12-11,厦门市思明区人民法院,基层法院,一审,6764,2020-12-11,福建,一审,民间借贷纠纷,case_reason_contains_罪,0,2020,福建,一审
aecd480a-90fd-4ac4-849c-bb778eefc545,毛某某与某公司劳动争议二审民事案,劳动争议,（2021）京01民终6075号,2021-08-31,北京市第一中级人民法院,中级法院,二审,5191,2021-08-31,北京,二审,劳动争议,case_reason_contains_罪,0,2021,北京,二审
ca6d5844-dd1c-4ba5-b9d4-75190b63e4e5,某公司1与某公司2著作权权属、侵权纠纷一审民事案,著作权权属纠纷,（2010）杭西知初字第273号,2010-12-19,浙江省杭州市西湖区人民法院,基层法院,一审,12119,2010-12-19,浙江,一审,著作权权属纠纷,case_reason_contains_罪,0,2010,浙江,一审
