doc_id,status,model,temperature,case_amount,case_amount_type,metadata__case_number,metadata__court_name,metadata__court_level,metadata__judgment_date,metadata__first_instance_case_number,metadata__region,metadata__doc_type,case_profile__case_type_primary,case_profile__case_type_secondary,case_profile__procedure_stage,case_profile__is_appeal,case_profile__litigant_profile__plaintiff_types,case_profile__litigant_profile__defendant_types,virtual_currency_info__involved,virtual_currency_info__typical_virtual_currency,virtual_currency_info__currency_types,virtual_currency_info__activity_types,judicial_analysis__legal_characterization,judicial_analysis__virtual_currency_property_status,judicial_analysis__direct_transaction_legality_assessment,judicial_analysis__indirect_transaction_legality_assessment,judicial_analysis__direct_related_contract_validity,judicial_analysis__indirect_related_contract_validity,judicial_analysis__reasons_for_invalidity_or_no_protection,judicial_analysis__cited_laws,judicial_analysis__cited_policies,judicial_analysis__policy_labels,judicial_analysis__judicial_framing,llm_summary__outcome_summary,llm_summary__reasoning_summary,low_confidence_fields
ea8629e2-9c2f-4bb8-a390-ae2b00254590,ok,deepseek-v4-pro,0,,,（2021）鲁0115民初3374号,山东省济南市济阳区人民法院,基层法院,2021-11-02,,山东,判决书,民事,民间借贷纠纷,一审,0,"[""自然人""]","[""自然人""]",1,否,[],[],,[],,,,,[],[],[],[],[],,,[]
4dcace3b-dbdd-4b40-86a2-b1db018a7c97,ok,deepseek-v4-pro,0,159521,返还本金,（2024）云0322民初972号,陆良县人民法院,基层法院,2024-05-15,,云南,判决书,民事,追偿权纠纷,一审,0,"[""法人""]","[""自然人""]",0,否,[],[],,[],,,,,[],[],[],[],[],,,[]
3602a828-7b9a-416e-a1fe-b1b200453b89,ok,deepseek-v4-pro,0,54000,借款本金,（2024）桂01民终3312号,广西壮族自治区南宁市中级人民法院,中级法院,2024-05-28,,广西,判决书,民事,民间借贷纠纷,二审,1,"[""自然人""]","[""自然人""]",1,否,[],[],,[],,,,,[],[],[],[],[],,,[]
0fa06217-0c8f-4700-a155-78165fbe72d8,ok,deepseek-v4-pro,0,100000,其他,（2023）京0491民初19311号,北京互联网法院,基层法院,2024-06-28,,北京,判决书,民事,侵害作品信息网络传播权纠纷,一审,0,"[""法人""]","[""法人""]",1,否,[],[],,[],,,,,[],[],[],[],[],,,[]
cf2ca686-a0b2-4709-bbff-ac770040cb93,ok,deepseek-v4-pro,0,675785,原告诉请本金,（2020）桂0105民初2285号,南宁市江南区人民法院,基层法院,2020-09-16,,广西,判决书,民事,合同纠纷,一审,0,"[""自然人""]","[""自然人""]",1,是,"[""虚拟货币""]","[""买卖/兑换"",""委托理财/代投""]",合同,"[""未明确""]",未明确,不适用,未明确,不适用,"[""证据不足""]","[""《中华人民共和国民事诉讼法》第六十四条第一款""]",[],[],"[""证据不足""]",驳回诉请,法院认为，原告未能提供充分证据证明双方存在轮胎代理销售合同关系及被告应返还投资款，应承担举证不能的不利后果。,[]
269086e8-3097-4711-80a2-b1e800e5b21a,ok,deepseek-v4-pro,0,45220,投资款,（2024）沪0116民初5473号,上海市金山区人民法院,基层法院,2024-04-28,,上海,判决书,民事,委托理财合同纠纷,一审,0,"[""自然人""]","[""自然人""]",1,是,"[""马克币""]","[""委托理财/代投"",""买卖/兑换""]",委托理财合同,"[""未明确""]",合同无效,不适用,无效,不适用,"[""扰乱金融秩序"",""违反法律强制性规定""]","[""《最高人民法院关于适用〈中华人民共和国民法典〉时间效力的若干规定》第一条第三款"",""《中华人民共和国民法典》第一百五十三条"",""《中华人民共和国民法典》第一百五十七条"",""《中华人民共和国民事诉讼法》第一百四十五条"",""《中华人民共和国民事诉讼法》第一百六十五条第一款""]",[],[],"[""合同无效"",""返还本金"",""扰乱金融秩序""]",部分支持返还本金,法院认为，虚拟货币交易违反金融管理秩序，委托理财合同无效，被告应返还尚欠理财款9000元；因双方对合同无效均有过错，原告利息损失自行承担。,[]
2b9a05d6-6d0d-44b7-8721-b02f017f4916,ok,deepseek-v4-pro,0,63000,投资款,（2023）鲁0782民初273号,诸城市人民法院,基层法院,2023-02-09,,山东,判决书,民事,民间借贷纠纷,一审,0,"[""自然人""]","[""自然人""]",1,是,"[""虚拟货币""]","[""委托理财/代投""]",委托合同,"[""未明确""]",未明确,不适用,未明确,不适用,"[""证据不足"",""请求权基础不成立""]","[""《中华人民共和国民事诉讼法》第六十四条第一款"",""《中华人民共和国民事诉讼法》第一百四十二条"",""《最高人民法院关于适用<中华人民共和国民事诉讼法>的解释》第九十一条""]",[],[],"[""证据不足"",""请求权基础不成立""]",驳回诉请,法院认为，借条记载款项用于投资MAK理财项目，不符合民间借贷特点，双方为委托投资关系；原告坚持民间借贷关系，未充分举证，应承担不利后果。,[]
cd129649-b55a-44b8-aa19-b1be00c68f45,ok,deepseek-v4-pro,0,1040000,投资款,（2023）浙0783民初7947号,东阳市人民法院,基层法院,2024-02-26,,浙江,判决书,民事,委托合同纠纷,一审,0,"[""自然人""]","[""自然人""]",1,是,"[""USTD货币"",""虚拟币""]","[""委托理财/代投"",""买卖/兑换""]",委托合同,"[""不具有法偿性"",""非货币"",""不属于法定货币""]",合同无效,不适用,无效,不适用,"[""扰乱金融秩序"",""非法金融活动"",""违反金融监管政策""]","[""《中华人民共和国民法典》第一百四十三条"",""《中华人民共和国民法典》第一百五十七条"",""《中华人民共和国民事诉讼法》第六十七条第一款""]","[""《关于防范代币发行融资风险的公告》""]","[""2017九四公告""]","[""合同无效"",""扰乱金融秩序"",""监管政策影响私法效力"",""返还本金""]",部分支持返还本金,法院认为，委托投资虚拟货币属于非法金融活动，扰乱金融秩序，委托合同无效；双方均有过错，被告承担60%赔偿责任，原告自行承担40%。,[]
8270cfea-00a5-4adf-81d2-b2280063f2a2,ok,deepseek-v4-pro,0,70000,购买价款,（2024）新01民终7434号,新疆维吾尔自治区乌鲁木齐市中级人民法院,中级法院,2024-11-11,,新疆,判决书,民事,买卖合同纠纷,二审,1,"[""自然人""]","[""自然人""]",1,是,"[""XXXX币"",""XXX币"",""XXXXXX币"",""金币""]","[""买卖/兑换""]",买卖合同,"[""不具有法偿性"",""非货币"",""不属于法定货币""]",合同无效,不适用,无效,不适用,"[""违反法律强制性规定"",""违背公序良俗"",""违反金融监管政策""]","[""《中华人民共和国合同法》第五十二条"",""《中华人民共和国合同法》第五十八条"",""《中华人民共和国外汇管理条例》第十七条"",""《最高人民法院关于适用〈中华人民共和国民法典〉时间效力的若干规定》第一条第二款"",""《中华人民共和国民事诉讼法》第一百七十七条第一款第二项""]","[""《关于防范代币发行融资风险的公告》""]","[""2017九四公告""]","[""合同无效"",""违背公序良俗"",""违反强制性规定"",""监管政策影响私法效力"",""返还本金""]",维持原判,二审法院认定双方为买卖合同关系，但买卖虚拟货币的合同因违反监管政策、违背公序良俗而无效，葛某某应返还财产70000元，但欧某某未上诉，故维持一审判决葛某某赔偿66419.5元。,[]
9eec09af-813d-400b-97c9-ad390186595c,ok,deepseek-v4-pro,0,50000,购买价款,（2021）湘0525民初1261号,洞口县人民法院,基层法院,2021-05-26,,湖南,判决书,民事,买卖合同纠纷,一审,0,"[""自然人""]","[""自然人""]",1,是,"[""USDT"",""泰达币""]","[""买卖/兑换""]",买卖合同,"[""不具有法偿性"",""非货币"",""不属于法定货币""]",合同无效,不适用,无效,不适用,"[""违反金融监管政策"",""不具有法偿性"",""不属于法定货币""]","[""《中华人民共和国合同法》第五十八条"",""《最高人民法院关于适用中华人民共和国民法典时间效力的若干规定》第一条第二款""]","[""《关于防范代币发行融资风险的公告》""]","[""2017九四公告""]","[""合同无效"",""返还本金"",""监管政策影响私法效力""]",支持返还本金,法院认为，泰达币不具有法偿性与货币属性，不能作为货币流通，买卖泰达币的合同无效，被告应返还交易款项；原告对交易风险有预见性，对合同无效有过错，利息请求不予支持。,[]
