doc_id,index_title,index_case_cause,index_case_number,index_close_date,index_court_name,index_court_level,index_procedure,index_row_index,metadata__judgment_date,metadata__region,case_profile__procedure_stage,case_profile__case_type_secondary,criminal_filter_rule,criminal_filter_is_explicit_criminal,sample_year,sample_region,sample_stage
3602a828-7b9a-416e-a1fe-b1b200453b89,黄某、颜某民间借贷纠纷民事二审民事案,民间借贷纠纷,（2024）桂01民终3312号,2024-05-28,广西壮族自治区南宁市中级人民法院,中级法院,二审,810,2024-05-28,广西,二审,民间借贷纠纷,case_reason_contains_罪,0,2024,广西,二审
269086e8-3097-4711-80a2-b1e800e5b21a,赵某某与曹某某委托理财合同纠纷一审民事案,委托理财合同纠纷,（2024）沪0116民初5473号,2024-04-28,上海市金山区人民法院,基层法院,一审,968,2024-04-28,上海,一审,委托理财合同纠纷,case_reason_contains_罪,0,2024,上海,一审
cd129649-b55a-44b8-aa19-b1be00c68f45,胡某某、潘某某委托合同纠纷一审民事案,委托合同纠纷,（2023）浙0783民初7947号,2024-02-26,东阳市人民法院,基层法院,一审,1344,2024-02-26,浙江,一审,委托合同纠纷,case_reason_contains_罪,0,2024,浙江,一审
2b9a05d6-6d0d-44b7-8721-b02f017f4916,徐某某、毛某某民间借贷纠纷民事一审民事案,民间借贷纠纷,（2023）鲁0782民初273号,2023-02-09,诸城市人民法院,基层法院,一审,2895,2023-02-09,山东,一审,民间借贷纠纷,case_reason_contains_罪,0,2023,山东,一审
4dcace3b-dbdd-4b40-86a2-b1db018a7c97,云南某公司与李某某、陈某追偿权纠纷一审民事案,追偿权纠纷,（2024）云0322民初972号,2024-05-15,陆良县人民法院,基层法院,一审,886,2024-05-15,云南,一审,追偿权纠纷,case_reason_contains_罪,0,2024,云南,一审
9eec09af-813d-400b-97c9-ad390186595c,李某某、张某某等与杨某某买卖合同纠纷一审民事案,买卖合同纠纷,（2021）湘0525民初1261号,2021-05-26,洞口县人民法院,基层法院,一审,5728,2021-05-26,湖南,一审,买卖合同纠纷,case_reason_contains_罪,0,2021,湖南,一审
ea8629e2-9c2f-4bb8-a390-ae2b00254590,杨某某、张某2民间借贷纠纷民事一审民事案,民间借贷纠纷,（2021）鲁0115民初3374号,2021-11-02,山东省济南市济阳区人民法院,基层法院,一审,4781,2021-11-02,山东,一审,民间借贷纠纷,case_reason_contains_罪,0,2021,山东,一审
8270cfea-00a5-4adf-81d2-b2280063f2a2,葛某某、欧某某买卖合同纠纷民事二审民事案,买卖合同纠纷,（2024）新01民终7434号,2024-11-11,新疆维吾尔自治区乌鲁木齐市中级人民法院,中级法院,二审,107,2024-11-11,新疆,二审,买卖合同纠纷,case_reason_contains_罪,0,2024,新疆,二审
0fa06217-0c8f-4700-a155-78165fbe72d8,某公司1与某公司2一审民事案,侵害作品信息网络传播权纠纷,（2023）京0491民初19311号,2024-06-28,北京互联网法院,基层法院,一审,616,2024-06-28,北京,一审,侵害作品信息网络传播权纠纷,case_reason_contains_罪,0,2024,北京,一审
cf2ca686-a0b2-4709-bbff-ac770040cb93,李某某与韦某2合同纠纷一审民事案,合同纠纷,（2020）桂0105民初2285号,2020-09-16,南宁市江南区人民法院,基层法院,一审,7391,2020-09-16,广西,一审,合同纠纷,case_reason_contains_罪,0,2020,广西,一审
