doc_id,status,model,temperature,法院层级,裁判日期,省级地区,程序阶段,是否上诉,案件金额_一审,金额类型_一审,金额依据_一审,案件类型_一审,具体案由_一审,是否涉及虚拟货币_一审,典型虚拟货币_一审,币种_一审,涉币活动类型_一审,法律定性_一审,财产属性_一审,直接交易合法性_一审,间接交易合法性_一审,直接合同效力_一审,间接合同效力_一审,无效/不保护理由_一审,引用法律_一审,监管政策_一审,政策标签_一审,司法裁判框架_一审,裁判结果摘要_一审,裁判理由摘要_一审,低置信字段_一审,案件金额_二审,金额类型_二审,金额依据_二审,案件类型_二审,具体案由_二审,是否涉及虚拟货币_二审,典型虚拟货币_二审,币种_二审,涉币活动类型_二审,法律定性_二审,财产属性_二审,直接交易合法性_二审,间接交易合法性_二审,直接合同效力_二审,间接合同效力_二审,无效/不保护理由_二审,引用法律_二审,监管政策_二审,政策标签_二审,司法裁判框架_二审,裁判结果摘要_二审,裁判理由摘要_二审,低置信字段_二审,二审处理结果,最终生效审级,最终采用字段后缀,裁判理由是否变化,裁判结果是否变化,是否仅程序性处理,一二审变化字段
ea8629e2-9c2f-4bb8-a390-ae2b00254590,ok,deepseek-v4-pro,0,基层法院,2021-11-02,山东,一审,false,,,,民事,民间借贷纠纷,true,否,[],[],,[],,,,,[],[],[],[],[],,,[],,,,,,,,[],[],,[],,,,,[],[],[],[],[],,,[],一审裁判,一审,_first_instance,,,false,[]
4dcace3b-dbdd-4b40-86a2-b1db018a7c97,ok,deepseek-v4-pro,0,基层法院,2024-05-15,云南,一审,false,159521,返还本金,原告某公司于2023年5月25日为其代偿了贷款本息共计159521元,民事,追偿权纠纷,false,否,[],[],,[],,,,,[],[],[],[],[],,,[],,,,,,,,[],[],,[],,,,,[],[],[],[],[],,,[],一审裁判,一审,_first_instance,,,false,[]
3602a828-7b9a-416e-a1fe-b1b200453b89,ok,deepseek-v4-pro,0,中级法院,2024-05-28,广西,二审,true,,,,,,,,[],[],,[],,,,,[],[],[],[],[],,,[],54000,借款本金,颜某某请求法院判令黄某某偿还颜某某借款本金54000元,民事,民间借贷纠纷,true,否,[],[],,[],,,,,[],[],[],[],[],,,[],未明确,未明确,_second_instance,,,,[]
0fa06217-0c8f-4700-a155-78165fbe72d8,ok,deepseek-v4-pro,0,基层法院,2024-06-28,北京,一审,false,100000,其他,被告某公司2赔偿原告某公司1经济损失10万元,民事,侵害作品信息网络传播权纠纷,true,否,[],[],,[],,,,,[],[],[],[],[],,,[],,,,,,,,[],[],,[],,,,,[],[],[],[],[],,,[],一审裁判,一审,_first_instance,,,false,[]
cf2ca686-a0b2-4709-bbff-ac770040cb93,ok,deepseek-v4-pro,0,基层法院,2020-09-16,广西,一审,false,675785,原告诉请本金,尚欠原告本金675785元未归还,民事,合同纠纷,true,是,"[""虚拟货币""]","[""买卖/兑换"",""委托理财/代投""]",合同,"[""未明确""]",未明确,不适用,未明确,不适用,"[""证据不足""]","[""《中华人民共和国民事诉讼法》第六十四条第一款""]",[],[],"[""证据不足""]",驳回诉请,法院认为，原告未能提供充分证据证明双方存在轮胎代理销售合同关系及被告应返还投资款，应承担举证不能的不利后果。,[],,,,,,,,[],[],,[],,,,,[],[],[],[],[],,,[],一审裁判,一审,_first_instance,,,false,[]
269086e8-3097-4711-80a2-b1e800e5b21a,ok,deepseek-v4-pro,0,基层法院,2024-04-28,上海,一审,false,45220,投资款,"原告向被告转款45,220元用于购买马克币",民事,委托理财合同纠纷,true,是,"[""马克币""]","[""委托理财/代投"",""买卖/兑换""]",委托理财合同,"[""未明确""]",合同无效,不适用,无效,不适用,"[""扰乱金融秩序"",""违反法律强制性规定""]","[""《最高人民法院关于适用〈中华人民共和国民法典〉时间效力的若干规定》第一条第三款"",""《中华人民共和国民法典》第一百五十三条"",""《中华人民共和国民法典》第一百五十七条"",""《中华人民共和国民事诉讼法》第一百四十五条"",""《中华人民共和国民事诉讼法》第一百六十五条第一款""]",[],[],"[""合同无效"",""返还本金"",""扰乱金融秩序""]",部分支持返还本金,法院认为，虚拟货币交易违反金融管理秩序，委托理财合同无效，被告应返还尚欠理财款9000元；因双方对合同无效均有过错，原告利息损失自行承担。,[],,,,,,,,[],[],,[],,,,,[],[],[],[],[],,,[],一审裁判,一审,_first_instance,,,false,[]
2b9a05d6-6d0d-44b7-8721-b02f017f4916,ok,deepseek-v4-pro,0,基层法院,2023-02-09,山东,一审,false,63000,投资款,原告交付被告款项63000元,民事,民间借贷纠纷,true,是,"[""虚拟货币""]","[""委托理财/代投""]",委托合同,"[""未明确""]",未明确,不适用,未明确,不适用,"[""证据不足"",""请求权基础不成立""]","[""《中华人民共和国民事诉讼法》第六十四条第一款"",""《中华人民共和国民事诉讼法》第一百四十二条"",""《最高人民法院关于适用<中华人民共和国民事诉讼法>的解释》第九十一条""]",[],[],"[""证据不足"",""请求权基础不成立""]",驳回诉请,法院认为，借条记载款项用于投资MAK理财项目，不符合民间借贷特点，双方为委托投资关系；原告坚持民间借贷关系，未充分举证，应承担不利后果。,[],,,,,,,,[],[],,[],,,,,[],[],[],[],[],,,[],一审裁判,一审,_first_instance,,,false,[]
cd129649-b55a-44b8-aa19-b1be00c68f45,ok,deepseek-v4-pro,0,基层法院,2024-02-26,浙江,一审,false,1040000,投资款,"原告胡某某于2022年7月18日、2022年7月20日、2022年7月28日分四次共向被告潘某某指定的裘莉的银行账户转账合计1040000元,委托被告潘某某在“仙人掌”平台投资虚拟币。",民事,委托合同纠纷,true,是,"[""USTD货币"",""虚拟币""]","[""委托理财/代投"",""买卖/兑换""]",委托合同,"[""不具有法偿性"",""非货币"",""不属于法定货币""]",合同无效,不适用,无效,不适用,"[""扰乱金融秩序"",""非法金融活动"",""违反金融监管政策""]","[""《中华人民共和国民法典》第一百四十三条"",""《中华人民共和国民法典》第一百五十七条"",""《中华人民共和国民事诉讼法》第六十七条第一款""]","[""《关于防范代币发行融资风险的公告》""]","[""2017九四公告""]","[""合同无效"",""扰乱金融秩序"",""监管政策影响私法效力"",""返还本金""]",部分支持返还本金,法院认为，委托投资虚拟货币属于非法金融活动，扰乱金融秩序，委托合同无效；双方均有过错，被告承担60%赔偿责任，原告自行承担40%。,[],,,,,,,,[],[],,[],,,,,[],[],[],[],[],,,[],一审裁判,一审,_first_instance,,,false,[]
8270cfea-00a5-4adf-81d2-b2280063f2a2,ok,deepseek-v4-pro,0,中级法院,2024-11-11,新疆,二审,true,,,,,,,,[],[],,[],,,,,[],[],[],[],[],,,[],70000,购买价款,"欧某某先后于2019年10月15日向葛某某账户转款70,000元、于2020年1月2日向葛某某账户转款19,000元、通过微信转款5,885元。对于第一笔70,000元,葛某某认可该部分款项用于购买案涉虚拟币",民事,买卖合同纠纷,true,是,"[""XXXX币"",""XXX币"",""XXXXXX币"",""金币""]","[""买卖/兑换""]",买卖合同,"[""不具有法偿性"",""非货币"",""不属于法定货币""]",合同无效,不适用,无效,不适用,"[""违反法律强制性规定"",""违背公序良俗"",""违反金融监管政策""]","[""《中华人民共和国合同法》第五十二条"",""《中华人民共和国合同法》第五十八条"",""《中华人民共和国外汇管理条例》第十七条"",""《最高人民法院关于适用〈中华人民共和国民法典〉时间效力的若干规定》第一条第二款"",""《中华人民共和国民事诉讼法》第一百七十七条第一款第二项""]","[""《关于防范代币发行融资风险的公告》""]","[""2017九四公告""]","[""合同无效"",""违背公序良俗"",""违反强制性规定"",""监管政策影响私法效力"",""返还本金""]",维持原判,二审法院认定双方为买卖合同关系，但买卖虚拟货币的合同因违反监管政策、违背公序良俗而无效，葛某某应返还财产70000元，但欧某某未上诉，故维持一审判决葛某某赔偿66419.5元。,[],未明确,未明确,_second_instance,,,,[]
9eec09af-813d-400b-97c9-ad390186595c,ok,deepseek-v4-pro,0,基层法院,2021-05-26,湖南,一审,false,50000,购买价款,原告张某某通过银行转账向被告杨某某转账50000元,民事,买卖合同纠纷,true,是,"[""USDT"",""泰达币""]","[""买卖/兑换""]",买卖合同,"[""不具有法偿性"",""非货币"",""不属于法定货币""]",合同无效,不适用,无效,不适用,"[""违反金融监管政策"",""不具有法偿性"",""不属于法定货币""]","[""《中华人民共和国合同法》第五十八条"",""《最高人民法院关于适用中华人民共和国民法典时间效力的若干规定》第一条第二款""]","[""《关于防范代币发行融资风险的公告》""]","[""2017九四公告""]","[""合同无效"",""返还本金"",""监管政策影响私法效力""]",支持返还本金,法院认为，泰达币不具有法偿性与货币属性，不能作为货币流通，买卖泰达币的合同无效，被告应返还交易款项；原告对交易风险有预见性，对合同无效有过错，利息请求不予支持。,[],,,,,,,,[],[],,[],,,,,[],[],[],[],[],,,[],一审裁判,一审,_first_instance,,,false,[]
